actual_price_eur,discounted_price_eur,discount_amount_eur,main_category,sub_category,third_category,rating,rating_count
12.088999999999999,4.388999999999999,7.699999999999999,Computers&Accessories,Accessories&Peripherals,Cables&Accessories,4.2,"24,269"
3.839,2.189,1.65,Computers&Accessories,Accessories&Peripherals,Cables&Accessories,4.0,"43,994"
20.889,2.189,18.7,Computers&Accessories,Accessories&Peripherals,Cables&Accessories,3.9,"7,928"
7.688999999999999,3.6189999999999998,4.069999999999999,Computers&Accessories,Accessories&Peripherals,Cables&Accessories,4.2,"94,363"
4.388999999999999,1.694,2.6949999999999994,Computers&Accessories,Accessories&Peripherals,Cables&Accessories,4.2,"16,905"
11.0,1.639,9.361,Computers&Accessories,Accessories&Peripherals,Cables&Accessories,3.9,"24,871"
5.489,1.9429299999999998,3.5460700000000003,Computers&Accessories,Accessories&Peripherals,Cables&Accessories,4.1,"15,188"
3.2889999999999997,2.5189999999999997,0.77,Computers&Accessories,Accessories&Peripherals,Cables&Accessories,4.3,"30,411"
10.988999999999999,5.489,5.499999999999999,Computers&Accessories,NetworkingDevices,NetworkAdapters,4.2,"1,79,691"
3.2889999999999997,2.189,1.0999999999999996,Computers&Accessories,Accessories&Peripherals,Cables&Accessories,4.0,"43,994"
3.7289999999999996,1.694,2.0349999999999997,Computers&Accessories,Accessories&Peripherals,Cables&Accessories,4.3,"13,391"
8.789,3.2889999999999997,5.5,Computers&Accessories,Accessories&Peripherals,Cables&Accessories,4.2,"94,363"
7.699999999999999,2.409,5.2909999999999995,Electronics,"HomeTheater,TV&Video",Accessories,4.4,"4,26,973"
9.889,3.8499999999999996,6.039,Computers&Accessories,Accessories&Peripherals,Cables&Accessories,4.2,"2,262"
4.388999999999999,1.7489999999999999,2.6399999999999997,Computers&Accessories,Accessories&Peripherals,Cables&Accessories,4.1,"4,768"
4.388999999999999,3.839,0.5499999999999994,Computers&Accessories,Accessories&Peripherals,Cables&Accessories,4.4,"18,757"
274.989,153.989,120.99999999999997,Electronics,"HomeTheater,TV&Video",Televisions,4.2,"32,840"
4.388999999999999,2.739,1.6499999999999995,Computers&Accessories,Accessories&Peripherals,Cables&Accessories,4.0,"43,994"
5.489,2.189,3.3,Computers&Accessories,Accessories&Peripherals,Cables&Accessories,4.1,"13,045"
241.89,148.39,93.5,Electronics,"HomeTheater,TV&Video",Televisions,4.3,"11,976"
