user_id,user_name,product_name,category,subcategory
AG3D6O4STAQKAY2UVGEUV46KN35Q,Manav,"Wayona Nylon Braided USB to Lightning Fast Charging and Data Sync Cable Compatible for iPhone 13, 12,11, X, 8, 7, 6, 5, iPad Air, Pro, Mini (3 FT Pack of 1, Grey)",Computers & Accessories,Accessories & Peripherals
AHMY5CWJMMK5BJRBBSNLYT3ONILA,Adarsh gupta,"Wayona Nylon Braided USB to Lightning Fast Charging and Data Sync Cable Compatible for iPhone 13, 12,11, X, 8, 7, 6, 5, iPad Air, Pro, Mini (3 FT Pack of 1, Grey)",Computers & Accessories,Accessories & Peripherals
AHCTC6ULH4XB6YHDY6PCH2R772LQ,Sundeep,"Wayona Nylon Braided USB to Lightning Fast Charging and Data Sync Cable Compatible for iPhone 13, 12,11, X, 8, 7, 6, 5, iPad Air, Pro, Mini (3 FT Pack of 1, Grey)",Computers & Accessories,Accessories & Peripherals
AGYHHIERNXKA6P5T7CZLXKVPT7IQ,S.Sayeed Ahmed,"Wayona Nylon Braided USB to Lightning Fast Charging and Data Sync Cable Compatible for iPhone 13, 12,11, X, 8, 7, 6, 5, iPad Air, Pro, Mini (3 FT Pack of 1, Grey)",Computers & Accessories,Accessories & Peripherals
AG4OGOFWXJZTQ2HKYIOCOY3KXF2Q,jaspreet singh,"Wayona Nylon Braided USB to Lightning Fast Charging and Data Sync Cable Compatible for iPhone 13, 12,11, X, 8, 7, 6, 5, iPad Air, Pro, Mini (3 FT Pack of 1, Grey)",Computers & Accessories,Accessories & Peripherals
AENGU523SXMOS7JPDTW52PNNVWGQ,Khaja moin,"Wayona Nylon Braided USB to Lightning Fast Charging and Data Sync Cable Compatible for iPhone 13, 12,11, X, 8, 7, 6, 5, iPad Air, Pro, Mini (3 FT Pack of 1, Grey)",Computers & Accessories,Accessories & Peripherals
AEQJHCVTNINBS4FKTBGQRQTGTE5Q,Anand,"Wayona Nylon Braided USB to Lightning Fast Charging and Data Sync Cable Compatible for iPhone 13, 12,11, X, 8, 7, 6, 5, iPad Air, Pro, Mini (3 FT Pack of 1, Grey)",Computers & Accessories,Accessories & Peripherals
AFC3FFC5PKFF5PMA52S3VCHOZ5FQ,S.ARUMUGAM,"Wayona Nylon Braided USB to Lightning Fast Charging and Data Sync Cable Compatible for iPhone 13, 12,11, X, 8, 7, 6, 5, iPad Air, Pro, Mini (3 FT Pack of 1, Grey)",Computers & Accessories,Accessories & Peripherals
AECPFYFQVRUWC3KGNLJIOREFP5LQ,ArdKn,"Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Type C Cable for Smartphones, Tablets, Laptops & other Type C devices, PD Technology, 480Mbps Data Sync, Quick Charge 3.0 (RCT15A, Black)",Computers & Accessories,Accessories & Peripherals
AGYYVPDD7YG7FYNBXNGXZJT525AQ,Nirbhay kumar,"Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Type C Cable for Smartphones, Tablets, Laptops & other Type C devices, PD Technology, 480Mbps Data Sync, Quick Charge 3.0 (RCT15A, Black)",Computers & Accessories,Accessories & Peripherals
AHONIZU3ICIEHQIGQ6R2VFRSBXOQ,Sagar Viswanathan,"Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Type C Cable for Smartphones, Tablets, Laptops & other Type C devices, PD Technology, 480Mbps Data Sync, Quick Charge 3.0 (RCT15A, Black)",Computers & Accessories,Accessories & Peripherals
AFPHD2CRPDZMWMBL7WXRSVYWS5JA,Asp,"Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Type C Cable for Smartphones, Tablets, Laptops & other Type C devices, PD Technology, 480Mbps Data Sync, Quick Charge 3.0 (RCT15A, Black)",Computers & Accessories,Accessories & Peripherals
AEZ346GX3HJ4O4XNRPHCNHXQURMQ,Placeholder,"Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Type C Cable for Smartphones, Tablets, Laptops & other Type C devices, PD Technology, 480Mbps Data Sync, Quick Charge 3.0 (RCT15A, Black)",Computers & Accessories,Accessories & Peripherals
AEPSWFPNECKO34PUC7I56ITGXR6Q,BharanI,"Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Type C Cable for Smartphones, Tablets, Laptops & other Type C devices, PD Technology, 480Mbps Data Sync, Quick Charge 3.0 (RCT15A, Black)",Computers & Accessories,Accessories & Peripherals
AHWVEHR5DYLVFTO2KF3IZATFQSWQ,sonia,"Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Type C Cable for Smartphones, Tablets, Laptops & other Type C devices, PD Technology, 480Mbps Data Sync, Quick Charge 3.0 (RCT15A, Black)",Computers & Accessories,Accessories & Peripherals
AH4QT33M55677I7ISQOAKEQWACYQ,Niam,"Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Type C Cable for Smartphones, Tablets, Laptops & other Type C devices, PD Technology, 480Mbps Data Sync, Quick Charge 3.0 (RCT15A, Black)",Computers & Accessories,Accessories & Peripherals
AGU3BBQ2V2DDAMOAKGFAWDDQ6QHA,Kunal,"Sounce Fast Phone Charging Cable & Data Sync USB Cable Compatible for iPhone 13, 12,11, X, 8, 7, 6, 5, iPad Air, Pro, Mini & iOS Devices",Computers & Accessories,Accessories & Peripherals
AESFLDV2PT363T2AQLWQOWZ4N3OA,Himanshu,"Sounce Fast Phone Charging Cable & Data Sync USB Cable Compatible for iPhone 13, 12,11, X, 8, 7, 6, 5, iPad Air, Pro, Mini & iOS Devices",Computers & Accessories,Accessories & Peripherals
AHTPQRIMGUD4BYR5YIHBH3CCGEFQ,viswanath,"Sounce Fast Phone Charging Cable & Data Sync USB Cable Compatible for iPhone 13, 12,11, X, 8, 7, 6, 5, iPad Air, Pro, Mini & iOS Devices",Computers & Accessories,Accessories & Peripherals
